Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,0.8273772438659699,0,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,False,True
1,0.8273772438659699,1,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,False,True
1,-1.5661069258891576,1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,0.4207302360686478,False,True
0,0.8273772438659699,0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,False,True
0,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,True,False
0,-1.5661069258891576,0,1.893458525206443,-0.47454519624983954,-0.4736736092984604,0.395813560675251,False,True
1,-0.3693648410115938,1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,False,False
0,0.8273772438659699,0,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,False,True
0,0.8273772438659699,1,-1.180535207645204,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,False,True
1,-0.3693648410115938,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,False,True
0,0.8273772438659699,1,0.12591212881674602,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,False,True
1,0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,False,False
0,-0.3693648410115938,0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,False,True
1,-0.3693648410115938,0,0.35646165878061953,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,False,True
1,0.8273772438659699,1,-1.1036853643239128,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,True,False
1,-1.5661069258891576,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,False,True
0,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,False,False
1,0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,True,False
0,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,False,True
0,-1.5661069258891576,0,0.8175607187083667,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,False,False
1,0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,True,False
0,-1.5661069258891576,0,0.9712604053509489,0.4327933656785018,-0.4736736092984604,0.39858208016340624,False,True
1,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,False,False
0,0.8273772438659699,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,False,True
0,0.8273772438659699,1,-0.8731358343600393,1.340131927606843,-0.4736736092984604,-0.2859972841804228,False,True
1,0.8273772438659699,1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,False,False
0,0.8273772438659699,1,0.8175607187083667,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,False,True
0,-0.3693648410115938,1,-0.1814872444684187,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,False,True
0,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,False,False
1,0.8273772438659699,1,-0.7962859910387481,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,True,False
0,0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,False,True
0,0.8273772438659699,0,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,True,False
1,0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,True,False
0,0.8273772438659699,0,-0.10463740114712752,1.340131927606843,-0.4736736092984604,-0.21191774308354583,False,False
0,0.8273772438659699,1,-0.8731358343600393,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,False,True
0,0.8273772438659699,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,False,True
1,-0.3693648410115938,1,-0.027787557825836348,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,False,True
1,-1.5661069258891576,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,False,True
1,-0.3693648410115938,1,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,False,True
